Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),Percent area Transfer (%),Stdev (%)
20220502_0102,5,8.273712,70,9.1101406,0.5663994
20220502_0304,5,8.273712,70,1.7115796,0.0169277
20220405_0102,15,8.273712,70,1.0072049,0.1606685
20220405_0405,15,8.273712,70,3.8088875,1.1482748
20220414_0304,15,8.273712,70,7.7012225,0.3043619
20220502_0506,15,8.273712,70,18.242535,0.0411685
20220720_0102,15,8.273712,70,26.164507,0.3648207
20220622_0304,5,5.515808,80,1.5185174,0.1637088
20220627_0607,5,5.515808,80,14.664561,0.0752237
20220706_0708,5,5.515808,80,17.408694,0.1665094
20220622_0102,10,8.273712,80,42.340039,0.1669195
20220627_0405,10,8.273712,80,50.05015,0.2663359
20220918_0708,15,2.757904,80,9.1335844,0.0374707
20220622_0809,15,5.515808,80,12.5136,0.1205842
20220627_0203,15,5.515808,80,36.636886,0.2146749
20220324_0304,15,8.273712,80,73.121305,0.2581232
20220324_0506,15,8.273712,80,69.472311,0.5814348
20220328_0911,15,8.273712,80,34.942154,0.2762233
20220414_0506,15,8.273712,80,19.888794,0.3459727
20220418_0103,15,8.273712,80,74.359356,0.160589
20220918_0910,15,8.273712,80,60.549531,0.0184034
20220720_1112,5,0,90,2.6092585,0.1466574
20220425_0708,5,8.273712,90,62.12171,0.92934
20220425_1314,5,8.273712,90,50.32063,0.29235
20220425_1516,15,8.273712,90,69.2732,0.83961
20220727_0506,0,0,100,30.091702,0.2067475
20220804_0304,0,0,100,19.598717,0.6843644
20220713_0910,5,0,100,20.370023,0.225714
20220622_1213,5,2.757904,100,43.020492,
20220627_1415,5,2.757904,100,72.108757,1.0431191
20220622_0514,5,8.273712,100,76.882086,0.4941446
20220627_1213,5,8.273712,100,66.372259,0.085458
20230520_0304,10,0,100,50.593772,1.337606
20220622_1516,10,5.515808,100,81.443172,0.164092
20220627_1011,10,5.515808,100,80.658844,0.3525744
20220713_0102,15,0,100,30.093596,0.5495522
20220622_1011,15,2.757904,100,45.360065,0.1459894
20220627_0890,15,2.757904,100,70.969192,0.0107065
20220918_0103,15,5.515808,100,57.352564,0.4573673
20220324_0809,15,8.273712,100,85.39646,1.4728532
20220328_1213,15,8.273712,100,82.716332,0.3104588
20220405_0607,15,8.273712,100,88.111457,0.0876308
20220706_0910,15,8.273712,100,87.514916,
20220918_0204,15,8.273712,100,73.335672,0.7757139
20230520_1112,5,2.757904,120,66.220895,0.5407587
20230520_1314,5,5.515808,120,75.56136,0.0921324
20230520_0910,10,2.757904,120,77.663464,0.8628147
20230519_0506,10,5.515808,120,76.35646,1.6686581
20220324_1012,15,8.273712,120,94.880874,0.4657365
20220405_0809,15,8.273712,120,93.785493,0.1220514
20220405_1011,15,8.273712,120,91.822277,
20220804_0506,0,0,150,48.21527,2.1632348
20220804_0708,0,0,150,64.485489,0.8840702
20220127&20220119_09xx,5,1.378952,150,83.80993,0.1993011
20220127&20220119_12xx,5,1.378952,150,77.992044,2.072428
20220208_1517_400psi_05min_side1_full_T_20X_1_S7,5,2.757904,150,77.266544,0.5760008
20220217_0709,5,4.28854072,150,93.18537,0.663142
20220217_1011,5,4.28854072,150,92.329427,0.6573013
20220627_1617,5,5.515808,150,92.990834,0.1219828
20220627_1920,5,5.515808,150,87.721234,0.2877225
20220208_0203_5min_side1_full_T_20X_1_1,5,8.273712,150,91.405107,0.3581472
20220208_0607_05min_side1_full_T_20X_1_S3,5,8.273712,150,92.91894,0.5860469
20220127_xx_5min,5,8.273712,150,93.6732,0.4695
20220127_xx_5minA,5,8.273712,150,94.4891,0.16
20220222_0102,5,8.273712,150,93.80252,0.520779
20220222_0708,5,8.273712,150,96.406554,1.2475926
20220208_1213_400psi_10min_side1_full_T_20X_1_S6,10,2.757904,150,69.723083,0.8962071
20220405_1213,10,2.757904,150,97.162371,0.1739676
20220627_0118,10,2.757904,150,95.97942,0.2162108
20220217_0102,10,4.28854072,150,87.52922,0.239939
20220217_0304,10,4.28854072,150,91.61373,0.240853
20220208_0405_10min_side1_full_T_20X_1_S2,10,8.273712,150,93.652421,0.0530831
20220127_xx_10min,10,8.273712,150,94.9795,0.0473
20220222_0304,10,8.273712,150,95.760671,0.3728653
20220713_0506,15,0,150,61.719216,0.495653
20220713_0708,15,0,150,66.680678,0.253334
20220114_notCrooked,15,1.378952,150,94.6369,0.03521
20220114_crooked,15,1.378952,150,91.4448,0.00933
20220127_1011,15,1.378952,150,90.149477,0.9784764
20220208_1011_400psi_15min_side1_full_T_20X_1_S5,15,2.757904,150,86.558778,0.9000326
20220208_1819_400psi_15min_side1_full_T_20X_1_S8,15,2.757904,150,82.168077,0.9081607
20220114,15,2.757904,150,92.547685,0.8773312
20220114,15,2.757904,150,89.508616,1.307504
20220114,15,2.757904,150,96.295833,1.9501881
20220114,15,5.515808,150,92.547685,0.8773312
20220114,15,5.515808,150,89.508616,1.307504
20220114,15,5.515808,150,96.295833,1.9501881
20220114,15,8.273712,150,92.547685,0.8773312
20220114,15,8.273712,150,89.508616,1.307504
20220114,15,8.273712,150,96.295833,1.9501881
20220127_1314,15,2.757904,150,89.227813,0.8587284
20220127_1516,15,5.515808,150,95.133398,0.1309531
20220706_1113,15,5.515808,150,94.041547,0.2783967
20220208_0809_15min_side1_full_T_20X_1_S4,15,8.273712,150,93.585706,0.5454713
20220127_1718,15,8.273712,150,94.392218,0.3720672
20220222_0506,15,8.273712,150,95.289524,0.0028145
20220222_0910,15,8.273712,150,96.63136,0.241488
20220414_0708,15,8.273712,150,95.650979,0.8121377
20220414_0910,15,8.273712,150,95.57664,0.4538807
20220918_0506,15,8.273712,150,92.415348,0.466561
