Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),Toughness (J/m^2),Stdev (J/m^2)
20221011_0203,15,5.515808,70,0.372413002,0.063899363
20220324_0102,15,8.273712,70,1.038401083,0.061591649
20220502_0506,15,8.273712,70,1.009235771,0.187830511
20220622_0304,5,5.515808,80,0.182789097,0.001611291
20220706_0708,5,5.515808,80,0.684290434,0.073002374
20220622_0102,10,8.273712,80,1.341174788,0.069972669
20220627_0405,10,8.273712,80,0.821124133,0.044705814
20220918_0708,15,2.757904,80,0.49101379,0.138688071
20220627_0203,15,5.515808,80,1.096059445,0.060767246
20220324_0304,15,8.273712,80,1.463133916,0.082992048
20220324_0506,15,8.273712,80,0.633412351,0.112246271
20220414_0506,15,8.273712,80,0.661112091,0.015553056
20220418_0103,15,8.273712,80,1.074981113,0.145924976
20220918_0910,15,8.273712,80,1.525443562,0.036556031
20220818_1011,5,5.515808,90,0.975468034,0.088654351
20220425_0708,5,8.273712,90,1.40659008,0.104752315
20220425_1314,5,8.273712,90,1.149359584,0.153370707
20220425_1516,15,8.273712,90,1.331222936,0.115714343
20230520_0102,15,8.273712,90,1.04732976,0.038232807
20230519_0102,15,8.273712,90,1.307309412,0.204597415
20220727_0506,0,0,100,0.806205739,0.142374376
20220804_0304,0,0,100,0.665408784,0.336629791
20220713_0910,5,0,100,1.24258097,0.220540425
20220818_1213,5,1.72369,100,0.859182355,0.043251258
20220622_1213,5,2.757904,100,1.088575862,0.107495581
20220627_1415,5,2.757904,100,1.353923368,0.025069823
20220622_0514,5,8.273712,100,1.143668778,0.07560166
20220627_1213,5,8.273712,100,0.965233908,0.13779525
20230520_0304,10,0,100,0.768040166,0.122276835
20220622_1516,10,5.515808,100,1.291220266,0.113271379
20220627_1011,10,5.515808,100,1.45331414,0.146489637
20220713_0102,15,0,100,1.256482789,0.191798559
20220622_1011,15,2.757904,100,1.703528428,0.113671336
20220627_0890,15,2.757904,100,1.160115735,0.086888792
20221116_0515,15,2.757904,100,0.783475167,0.032115467
20220918_0103,15,5.515808,100,0.962166492,0.19927376
20230520_0506,15,5.515808,100,0.786766718,0.252738685
20220324_0809,15,8.273712,100,1.131521972,0.067007291
20220328_1213,15,8.273712,100,0.914649189,0.064134989
20220405_0607,15,8.273712,100,1.25182396,0.071438081
20220706_0910,15,8.273712,100,1.19303234,0.053186107
20220918_0204,15,8.273712,100,0.812937863,0.025730312
20230520_1112,5,2.757904,120,0.885415485,0.051516459
20230520_1314,5,5.515808,120,1.102135158,0.039005448
20230520_0910,10,2.757904,120,0.83559898,0.045396128
20230519_0506,10,5.515808,120,1.112381214,0.074806042
20230519_0304,15,2.757904,120,1.171248085,0.078958727
20230520_0708,15,5.515808,120,0.997623143,0.050266507
20220324_1012,15,8.273712,120,1.518887424,0.145117103
20220405_0809,15,8.273712,120,1.640310283,0.188216468
20220405_1011,15,8.273712,120,1.064401319,0.144927878
20220804_0506,0,0,150,0.973980721,0.064437001
20220804_0708,0,0,150,1.473907316,0.190884294
20221011_1920,5,0,150,0.871352083,0.041074514
20220208_1517_400psi_05min_side1_full_T_20X_1_S7,5,2.757904,150,1.204172982,0.111994232
20220818_1415,5,2.757904,150,0.86732434,0.019706088
20220217_0709,5,4.28854072,150,0.850512733,0.0441792
20220217_1011,5,4.28854072,150,0.929146833,0.040468608
20220627_1617,5,5.515808,150,0.759732936,0.031146076
20220627_1920,5,5.515808,150,0.744437772,0.108133187
20220208_0203_5min_side1_full_T_20X_1_1,5,8.273712,150,0.745458943,0.045475185
20220208_0607_05min_side1_full_T_20X_1_S3,5,8.273712,150,0.909147336,0.110529094
20220222_0102,5,8.273712,150,0.938403014,0.061029555
20220222_0708,5,8.273712,150,0.874657984,0.013628197
20221021_1011,5,8.273712,150,0.74245848,0.034760931
20221011_0607,10,0,150,0.699526615,0.029485757
20221011_1718,10,0,150,0.911346528,0.087943862
20220405_1213,10,2.757904,150,1.104248663,0.076793151
20220627_0118,10,2.757904,150,1.164003429,0.117507866
20220217_0102,10,4.28854072,150,0.779164346,0.070007795
20220217_0304,10,4.28854072,150,0.782894371,0.021774969
20220208_0405_10min_side1_full_T_20X_1_S2,10,8.273712,150,0.856771784,0.155281365
20220222_0304,10,8.273712,150,0.969113191,0.04773126
20221021_1213,10,8.273712,150,0.6655894,0.024150011
20220713_0506,15,0,150,0.938562793,0.270765952
20220713_0708,15,0,150,0.974008042,0.098271281
20220114_notCrooked,15,1.378952,150,0.484849371,0.077228811
20220114_crooked,15,1.378952,150,0.621579897,0.052679019
20220127_1011,15,1.378952,150,0.745893205,0.037409189
20220208_1011_400psi_15min_side1_full_T_20X_1_S5,15,2.757904,150,0.88130527,0.048999963
20220208_1819_400psi_15min_side1_full_T_20X_1_S8,15,2.757904,150,0.945078431,0.064024909
20220114,15,2.757904,150,0.515470018,0.169361444
20220114,15,2.757904,150,0.745392577,0.026040994
20220114,15,5.515808,150,0.515470018,0.169361444
20220114,15,5.515808,150,0.745392577,0.026040994
20220114,15,8.273712,150,0.515470018,0.169361444
20220114,15,8.273712,150,0.745392577,0.026040994
20220127_1314,15,2.757904,150,0.429347721,0.108131274
20220127_1516,15,5.515808,150,0.78631873,0.01717843
20220706_1113,15,5.515808,150,0.832903116,0.037370599
20220208_0809_15min_side1_full_T_20X_1_S4,15,8.273712,150,0.768069888,0.056577211
20220127_1718,15,8.273712,150,0.636243367,0.019226416
20220222_0506,15,8.273712,150,0.846365717,0.040241516
20220222_0910,15,8.273712,150,0.810545368,0.053215383
20220414_0708,15,8.273712,150,0.621354945,0.049220909
20220414_0910,15,8.273712,150,0.706911276,0.028117892
20220918_0506,15,8.273712,150,0.742659404,0.0251219
