Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),PL Normalized Max Intensity (counts/sec),PL Sample Location (deg)
sl27,5,8.27,120,2.147562849,25.94736842
sl27,5,8.27,120,2.276516152,30.68421053
sl27,5,8.27,120,2.081639736,35.42105263
sl27,5,8.27,120,2.091107756,40.15789474
sl27,5,8.27,120,2.067621298,44.89473684
sl27,5,8.27,120,2.060002934,49.63157895
sl27,5,8.27,120,1.980554418,54.36842105
sl27,5,8.27,120,1.956147962,59.10526316
sl27,5,8.27,120,1.891028115,63.84210526
sl28,10,8.27,100,1.945000136,25.94736842
sl28,10,8.27,100,1.94173698,30.68421053
sl28,10,8.27,100,1.933669176,35.42105263
sl28,10,8.27,100,1.862967307,40.15789474
sl28,10,8.27,100,1.820164159,44.89473684
sl28,10,8.27,100,1.827616935,49.63157895
sl28,10,8.27,100,1.837249771,54.36842105
sl28,10,8.27,100,1.753477008,59.10526316
sl28,10,8.27,100,1.69580527,63.84210526
sl29,10,8.27,150,4.530911538,25.94736842
sl29,10,8.27,150,3.347113801,30.68421053
sl29,10,8.27,150,3.052882152,35.42105263
sl29,10,8.27,150,3.012816571,40.15789474
sl29,10,8.27,150,2.880623809,44.89473684
sl29,10,8.27,150,2.848853726,49.63157895
sl29,10,8.27,150,2.818929516,54.36842105
sl29,10,8.27,150,2.790654293,59.10526316
sl29,10,8.27,150,2.76053722,63.84210526
sl30,10,8.27,150,3.674415576,25.94736842
sl30,10,8.27,150,3.735696108,30.68421053
sl30,10,8.27,150,3.720054758,35.42105263
sl30,10,8.27,150,4.021855991,40.15789474
sl30,10,8.27,150,3.856368115,44.89473684
sl30,10,8.27,150,3.724660203,49.63157895
sl30,10,8.27,150,3.600771399,54.36842105
sl30,10,8.27,150,4.439427476,59.10526316
sl30,10,8.27,150,7.058123353,63.84210526
sl31,10,5.515,120,2.025007528,25.94736842
sl31,10,5.515,120,2.110071583,30.68421053
sl31,10,5.515,120,1.92841597,35.42105263
sl31,10,5.515,120,1.875128513,40.15789474
sl31,10,5.515,120,1.882918109,44.89473684
sl31,10,5.515,120,1.815013043,49.63157895
sl31,10,5.515,120,1.745598342,54.36842105
sl31,10,5.515,120,1.745681467,59.10526316
sl31,10,5.515,120,1.727635876,63.84210526
sl32,10,2.76,150,9.43316972,25.94736842
sl32,10,2.76,150,10.04521454,30.68421053
sl32,10,2.76,150,10.26347133,35.42105263
sl32,10,2.76,150,10.05997629,40.15789474
sl32,10,2.76,150,8.263212232,44.89473684
sl32,10,2.76,150,5.017536383,49.63157895
sl32,10,2.76,150,4.368536148,54.36842105
sl32,10,2.76,150,3.716122483,59.10526316
sl32,10,2.76,150,3.482735221,63.84210526
sl33,15,5.515,150,8.429226092,25.94736842
sl33,15,5.515,150,8.612652168,30.68421053
sl33,15,5.515,150,8.122117182,35.42105263
sl33,15,5.515,150,7.723580889,40.15789474
sl33,15,5.515,150,7.220087731,44.89473684
sl33,15,5.515,150,6.791606137,49.63157895
sl33,15,5.515,150,6.533965707,54.36842105
sl33,15,5.515,150,5.903745143,59.10526316
sl33,15,5.515,150,4.757900276,63.84210526
sl34,10,2.76,100,2.795629048,25.94736842
sl34,10,2.76,100,2.762266296,30.68421053
sl34,10,2.76,100,2.918088348,35.42105263
sl34,10,2.76,100,3.810213568,40.15789474
sl34,10,2.76,100,3.44363669,44.89473684
sl34,10,2.76,100,2.827553338,49.63157895
sl34,10,2.76,100,1.828429592,54.36842105
sl34,10,2.76,100,1.604728743,59.10526316
sl34,10,2.76,100,1.620346187,63.84210526
sl35,15,5.515,100,2.294159479,25.94736842
sl35,15,5.515,100,2.259853205,30.68421053
sl35,15,5.515,100,2.296093789,35.42105263
sl35,15,5.515,100,2.125791249,40.15789474
sl35,15,5.515,100,2.065443651,44.89473684
sl35,15,5.515,100,2.140702675,49.63157895
sl35,15,5.515,100,1.994555293,54.36842105
sl35,15,5.515,100,1.880375976,59.10526316
sl35,15,5.515,100,0.990666206,63.84210526
sl36,10,8.27,150,7.010157471,25.94736842
sl36,10,8.27,150,7.12525898,30.68421053
sl36,10,8.27,150,7.890342967,35.42105263
sl36,10,8.27,150,7.718489089,40.15789474
sl36,10,8.27,150,7.833870185,44.89473684
sl36,10,8.27,150,9.356587881,49.63157895
sl36,10,8.27,150,11.7789125,54.36842105
sl36,10,8.27,150,12.66661462,59.10526316
sl36,10,8.27,150,12.28107613,63.84210526
sl37,10,5.515,120,2.061269657,25.94736842
sl37,10,5.515,120,2.437869946,30.68421053
sl37,10,5.515,120,2.018748306,35.42105263
sl37,10,5.515,120,2.0784251,40.15789474
sl37,10,5.515,120,2.144619138,44.89473684
sl37,10,5.515,120,2.098009796,49.63157895
sl37,10,5.515,120,1.949355099,54.36842105
sl37,10,5.515,120,1.963637165,59.10526316
sl37,10,5.515,120,2.106299219,63.84210526
sl38,15,5.515,150,5.97630957,25.94736842
sl38,15,5.515,150,5.890370371,30.68421053
sl38,15,5.515,150,5.778019795,35.42105263
sl38,15,5.515,150,5.737781233,40.15789474
sl38,15,5.515,150,6.003516464,44.89473684
sl38,15,5.515,150,6.026663399,49.63157895
sl38,15,5.515,150,5.46165558,54.36842105
sl38,15,5.515,150,5.235035207,59.10526316
sl38,15,5.515,150,5.241129716,63.84210526
sl39,5,2.76,120,1.782106066,25.94736842
sl39,5,2.76,120,1.736602436,30.68421053
sl39,5,2.76,120,1.956796667,35.42105263
sl39,5,2.76,120,2.061997993,40.15789474
sl39,5,2.76,120,2.179708605,44.89473684
sl39,5,2.76,120,2.134762629,49.63157895
sl39,5,2.76,120,2.123106881,54.36842105
sl39,5,2.76,120,2.378568528,59.10526316
sl39,5,2.76,120,2.23328407,63.84210526
sl40,15,5.515,100,1.174261452,25.94736842
sl40,15,5.515,100,1.116150426,30.68421053
sl40,15,5.515,100,1.154021462,35.42105263
sl40,15,5.515,100,1.068871666,40.15789474
sl40,15,5.515,100,1.06913556,44.89473684
sl40,15,5.515,100,1.092981341,49.63157895
sl40,15,5.515,100,1.06133738,54.36842105
sl40,15,5.515,100,1.036956265,59.10526316
sl40,15,5.515,100,0.978382648,63.84210526
sl41,5,8.27,120,2.824544101,25.94736842
sl41,5,8.27,120,2.809487148,30.68421053
sl41,5,8.27,120,2.576643475,35.42105263
sl41,5,8.27,120,1.800402899,40.15789474
sl41,5,8.27,120,1.615986744,44.89473684
sl41,5,8.27,120,1.591973892,49.63157895
sl41,5,8.27,120,1.602048531,54.36842105
sl41,5,8.27,120,1.490062045,59.10526316
sl41,5,8.27,120,1.473551924,63.84210526
sl42,15,8.27,120,2.371580643,25.94736842
sl42,15,8.27,120,2.400514633,30.68421053
sl42,15,8.27,120,2.274483119,35.42105263
sl42,15,8.27,120,2.295346739,40.15789474
sl42,15,8.27,120,2.36689819,44.89473684
sl42,15,8.27,120,2.324300005,49.63157895
sl42,15,8.27,120,2.255018213,54.36842105
sl42,15,8.27,120,2.256094005,59.10526316
sl42,15,8.27,120,2.387448517,63.84210526
sl42,15,8.27,120,2.300187645,25.94736842
sl42,15,8.27,120,2.804090202,30.68421053
sl42,15,8.27,120,2.290216072,35.42105263
sl42,15,8.27,120,2.275863571,40.15789474
sl42,15,8.27,120,2.325123238,44.89473684
sl42,15,8.27,120,2.32878516,49.63157895
sl42,15,8.27,120,2.195369794,54.36842105
sl42,15,8.27,120,1.805229013,59.10526316
sl42,15,8.27,120,2.167853466,63.84210526
sl43,10,2.76,150,9.439599544,25.94736842
sl43,10,2.76,150,9.009963275,30.68421053
sl43,10,2.76,150,8.501701727,35.42105263
sl43,10,2.76,150,8.064313636,40.15789474
sl43,10,2.76,150,7.259425568,44.89473684
sl43,10,2.76,150,5.864218843,49.63157895
sl43,10,2.76,150,5.441469431,54.36842105
sl43,10,2.76,150,5.420255343,59.10526316
sl43,10,2.76,150,5.083110507,63.84210526
sl44,10,2.76,100,1.20943597,25.94736842
sl44,10,2.76,100,1.173717699,30.68421053
sl44,10,2.76,100,1.112608834,35.42105263
sl44,10,2.76,100,1.157332977,40.15789474
sl44,10,2.76,100,1.176147155,44.89473684
sl44,10,2.76,100,1.084051726,49.63157895
sl44,10,2.76,100,1.154115219,54.36842105
sl44,10,2.76,100,1.170492165,59.10526316
sl44,10,2.76,100,1.106417874,63.84210526
sl45,10,8.27,100,0.943270559,25.94736842
sl45,10,8.27,100,0.95304749,30.68421053
sl45,10,8.27,100,0.913969791,35.42105263
sl45,10,8.27,100,0.895127318,40.15789474
sl45,10,8.27,100,0.879388153,44.89473684
sl45,10,8.27,100,0.924354605,49.63157895
sl45,10,8.27,100,0.894464123,54.36842105
sl45,10,8.27,100,0.869022538,59.10526316
sl45,10,8.27,100,0.874641207,63.84210526
sl46,5,5.515,150,5.319578788,25.94736842
sl46,5,5.515,150,5.514351785,30.68421053
sl46,5,5.515,150,5.807096052,35.42105263
sl46,5,5.515,150,5.572337318,40.15789474
sl46,5,5.515,150,4.886303471,44.89473684
sl46,5,5.515,150,4.000939415,49.63157895
sl46,5,5.515,150,3.816523781,54.36842105
sl46,5,5.515,150,3.903215049,59.10526316
sl46,5,5.515,150,3.994968077,63.84210526
sl47,15,2.76,120,4.220546972,25.94736842
sl47,15,2.76,120,4.192815102,30.68421053
sl47,15,2.76,120,4.036769259,35.42105263
sl47,15,2.76,120,4.223292073,40.15789474
sl47,15,2.76,120,3.912936382,44.89473684
sl47,15,2.76,120,3.901765429,49.63157895
sl47,15,2.76,120,4.081011864,54.36842105
sl47,15,2.76,120,3.872458169,59.10526316
sl47,15,2.76,120,3.903137205,63.84210526
sl48,10,2.76,150,10.2789372,25.94736842
sl48,10,2.76,150,10.24743357,30.68421053
sl48,10,2.76,150,10.75583355,35.42105263
sl48,10,2.76,150,10.89508399,40.15789474
sl48,10,2.76,150,10.80185715,44.89473684
sl48,10,2.76,150,11.02005791,49.63157895
sl48,10,2.76,150,10.75422542,54.36842105
sl48,10,2.76,150,10.52563055,59.10526316
sl48,10,2.76,150,9.799546087,63.84210526
sl49,15,8.27,120,2.51639801,25.94736842
sl49,15,8.27,120,2.580430472,30.68421053
sl49,15,8.27,120,2.398183839,35.42105263
sl49,15,8.27,120,2.524327467,40.15789474
sl49,15,8.27,120,2.604846516,44.89473684
sl49,15,8.27,120,2.675173042,49.63157895
sl49,15,8.27,120,2.992061348,54.36842105
sl49,15,8.27,120,3.044684183,59.10526316
sl49,15,8.27,120,3.087853609,63.84210526
sl50,15,2.76,120,1.012498883,25.94736842
sl50,15,2.76,120,0.980599307,30.68421053
sl50,15,2.76,120,0.915086949,35.42105263
sl50,15,2.76,120,0.796054264,40.15789474
sl50,15,2.76,120,0.697770656,44.89473684
sl50,15,2.76,120,0.620088085,49.63157895
sl50,15,2.76,120,0.554882506,54.36842105
sl50,15,2.76,120,0.511941898,59.10526316
sl50,15,2.76,120,0.538470345,63.84210526
sl51,5,2.76,120,0.49030174,25.94736842
sl51,5,2.76,120,0.507271915,30.68421053
sl51,5,2.76,120,0.491162684,35.42105263
sl51,5,2.76,120,0.41875388,40.15789474
sl51,5,2.76,120,0.405905379,44.89473684
sl51,5,2.76,120,0.397703658,49.63157895
sl51,5,2.76,120,0.386204261,54.36842105
sl51,5,2.76,120,0.38158397,59.10526316
sl51,5,2.76,120,0.027161216,63.84210526
sl52,10,5.515,120,0.531299361,25.94736842
sl52,10,5.515,120,0.521827382,30.68421053
sl52,10,5.515,120,0.507880322,35.42105263
sl52,10,5.515,120,0.49866931,40.15789474
sl52,10,5.515,120,0.470622484,44.89473684
sl52,10,5.515,120,0,49.63157895
sl52,10,5.515,120,0.437920703,54.36842105
sl52,10,5.515,120,0.363316878,59.10526316
sl52,10,5.515,120,0.355449024,63.84210526
sl53,5,5.515,150,3.93937037,25.94736842
sl53,5,5.515,150,3.819498887,30.68421053
sl53,5,5.515,150,3.945910227,35.42105263
sl53,5,5.515,150,4.099055392,40.15789474
sl53,5,5.515,150,3.94292408,44.89473684
sl53,5,5.515,150,3.494174844,49.63157895
sl53,5,5.515,150,3.281261348,54.36842105
sl53,5,5.515,150,3.245933995,59.10526316
sl53,5,5.515,150,3.259175017,63.84210526
sl54,15,5.515,150,14.34810399,25.94736842
sl54,15,5.515,150,14.13741959,30.68421053
sl54,15,5.515,150,14.20372704,35.42105263
sl54,15,5.515,150,14.87331855,40.15789474
sl54,15,5.515,150,14.62421424,44.89473684
sl54,15,5.515,150,14.33506478,49.63157895
sl54,15,5.515,150,12.86225901,54.36842105
sl54,15,5.515,150,8.76111514,59.10526316
sl54,15,5.515,150,7.504759244,63.84210526
sl55,5,8.27,120,3.395477807,25.94736842
sl55,5,8.27,120,3.358473002,30.68421053
sl55,5,8.27,120,3.308805793,35.42105263
sl55,5,8.27,120,3.026421722,40.15789474
sl55,5,8.27,120,3.06715554,44.89473684
sl55,5,8.27,120,3.014430609,49.63157895
sl55,5,8.27,120,2.790152982,54.36842105
sl55,5,8.27,120,2.693503001,59.10526316
sl55,5,8.27,120,2.674080261,63.84210526
sl56,5,5.515,100,2.354746083,25.94736842
sl56,5,5.515,100,2.380050349,30.68421053
sl56,5,5.515,100,2.373276328,35.42105263
sl56,5,5.515,100,2.368186321,40.15789474
sl56,5,5.515,100,2.41323886,44.89473684
sl56,5,5.515,100,2.546470736,49.63157895
sl56,5,5.515,100,2.627667658,54.36842105
sl56,5,5.515,100,2.587804275,59.10526316
sl56,5,5.515,100,2.651112585,63.84210526
sl57,15,2.76,120,1.919623495,25.94736842
sl57,15,2.76,120,2.037984931,30.68421053
sl57,15,2.76,120,2.051056882,35.42105263
sl57,15,2.76,120,2.051195258,40.15789474
sl57,15,2.76,120,2.236878348,44.89473684
sl57,15,2.76,120,2.207133509,49.63157895
sl57,15,2.76,120,2.38346281,54.36842105
sl57,15,2.76,120,2.393850691,59.10526316
sl57,15,2.76,120,2.404597109,63.84210526
sl58,5,5.515,100,1.139155034,25.94736842
sl58,5,5.515,100,1.271373863,30.68421053
sl58,5,5.515,100,1.385504971,35.42105263
sl58,5,5.515,100,1.328428378,40.15789474
sl58,5,5.515,100,1.281424411,44.89473684
sl58,5,5.515,100,1.061670064,49.63157895
sl58,5,5.515,100,1.282657911,54.36842105
sl58,5,5.515,100,1.068913981,59.10526316
sl58,5,5.515,100,1.052189538,63.84210526
sl59,5,5.515,100,2.710121376,25.94736842
sl59,5,5.515,100,1.21955562,30.68421053
sl59,5,5.515,100,1.121654332,35.42105263
sl59,5,5.515,100,1.169202873,40.15789474
sl59,5,5.515,100,1.208678961,44.89473684
sl59,5,5.515,100,1.83487613,49.63157895
sl59,5,5.515,100,1.142908283,54.36842105
sl59,5,5.515,100,1.140557938,59.10526316
sl59,5,5.515,100,1.260859135,63.84210526
sl60,15,5.515,100,1.172656251,25.94736842
sl60,15,5.515,100,1.053907063,30.68421053
sl60,15,5.515,100,1.145823526,35.42105263
sl60,15,5.515,100,1.103579137,40.15789474
sl60,15,5.515,100,1.041623381,44.89473684
sl60,15,5.515,100,1.298381066,49.63157895
sl60,15,5.515,100,1.032456297,54.36842105
sl60,15,5.515,100,0.918859911,59.10526316
sl60,15,5.515,100,0.987045354,63.84210526
sl61,5,2.76,120,2.19602804,25.94736842
sl61,5,2.76,120,2.142107613,30.68421053
sl61,5,2.76,120,2.149151013,35.42105263
sl61,5,2.76,120,2.628802368,40.15789474
sl61,5,2.76,120,2.108630198,44.89473684
sl61,5,2.76,120,2.425450584,49.63157895
sl61,5,2.76,120,2.351364278,54.36842105
sl61,5,2.76,120,1.162023716,59.10526316
sl61,5,2.76,120,1.250963917,63.84210526
sl62,10,2.76,100,1.69917572,25.94736842
sl62,10,2.76,100,1.734739061,30.68421053
sl62,10,2.76,100,2.068040149,35.42105263
sl62,10,2.76,100,1.941462668,40.15789474
sl62,10,2.76,100,1.979563599,44.89473684
sl62,10,2.76,100,1.740540478,49.63157895
sl62,10,2.76,100,1.497176189,54.36842105
sl62,10,2.76,100,1.02575113,59.10526316
sl62,10,2.76,100,0.967266438,63.84210526
sl63,15,8.27,120,1.549412886,25.94736842
sl63,15,8.27,120,1.764773076,30.68421053
sl63,15,8.27,120,1.963648801,35.42105263
sl63,15,8.27,120,2.814757665,40.15789474
sl63,15,8.27,120,2.868283922,44.89473684
sl63,15,8.27,120,2.001214707,49.63157895
sl63,15,8.27,120,1.940386359,54.36842105
sl63,15,8.27,120,1.817496656,59.10526316
sl63,15,8.27,120,1.834265919,63.84210526
sl64,5,5.515,150,4.095340289,25.94736842
sl64,5,5.515,150,2.803116669,30.68421053
sl64,5,5.515,150,4.090955935,35.42105263
sl64,5,5.515,150,3.888189412,40.15789474
sl64,5,5.515,150,3.923109837,44.89473684
sl64,5,5.515,150,3.920440444,49.63157895
sl64,5,5.515,150,3.766931228,54.36842105
sl64,5,5.515,150,3.740540431,59.10526316
sl64,5,5.515,150,3.64815791,63.84210526
sl65,10,8.27,100,0.900318175,25.94736842
sl65,10,8.27,100,0.888705213,30.68421053
sl65,10,8.27,100,0.959667366,35.42105263
sl65,10,8.27,100,0.925091077,40.15789474
sl65,10,8.27,100,0.938229891,44.89473684
sl65,10,8.27,100,1.002124669,49.63157895
sl65,10,8.27,100,0.915134167,54.36842105
sl65,10,8.27,100,0.716307481,59.10526316
sl65,10,8.27,100,0.734958891,63.84210526
sl66,15,8.27,100,2.112587058,25.94736842
sl66,15,8.27,100,2.102686201,30.68421053
sl66,15,8.27,100,2.055262245,35.42105263
sl66,15,8.27,100,2.021343809,40.15789474
sl66,15,8.27,100,1.992997405,44.89473684
sl66,15,8.27,100,2.006806568,49.63157895
sl66,15,8.27,100,2.003521205,54.36842105
sl66,15,8.27,100,1.959980077,59.10526316
sl66,15,8.27,100,2.051987057,63.84210526
sl67,15,8.27,100,2.342463489,25.94736842
sl67,15,8.27,100,2.292505763,30.68421053
sl67,15,8.27,100,2.273741669,35.42105263
sl67,15,8.27,100,2.151237208,40.15789474
sl67,15,8.27,100,2.200204595,44.89473684
sl67,15,8.27,100,2.125705429,49.63157895
sl67,15,8.27,100,2.13134788,54.36842105
sl67,15,8.27,100,2.031374467,59.10526316
sl67,15,8.27,100,2.05923381,63.84210526
sl68,15,8.27,135,2.790099722,25.94736842
sl68,15,8.27,135,2.626247315,30.68421053
sl68,15,8.27,135,3.290630994,35.42105263
sl68,15,8.27,135,3.461623415,40.15789474
sl68,15,8.27,135,3.450161587,44.89473684
sl68,15,8.27,135,3.477902187,49.63157895
sl68,15,8.27,135,3.608579436,54.36842105
sl68,15,8.27,135,3.264605096,59.10526316
sl68,15,8.27,135,3.271996145,63.84210526
sl69,15,8.27,135,3.412822969,25.94736842
sl69,15,8.27,135,3.332951762,30.68421053
sl69,15,8.27,135,3.183974733,35.42105263
sl69,15,8.27,135,3.208765131,40.15789474
sl69,15,8.27,135,3.200885405,44.89473684
sl69,15,8.27,135,3.056586757,49.63157895
sl69,15,8.27,135,2.882912117,54.36842105
sl69,15,8.27,135,2.807719147,59.10526316
sl69,15,8.27,135,2.848097859,63.84210526
sl70,15,8.27,150,6.96556545,25.94736842
sl70,15,8.27,150,6.488386233,30.68421053
sl70,15,8.27,150,5.26696907,35.42105263
sl70,15,8.27,150,5.044390158,40.15789474
sl70,15,8.27,150,5.005979483,44.89473684
sl70,15,8.27,150,4.785945697,49.63157895
sl70,15,8.27,150,4.486404153,54.36842105
sl70,15,8.27,150,4.474225373,59.10526316
sl70,15,8.27,150,4.338032304,63.84210526
sl71,15,8.27,150,6.686530828,25.94736842
sl71,15,8.27,150,5.990187885,30.68421053
sl71,15,8.27,150,5.818016932,35.42105263
sl71,15,8.27,150,5.85899136,40.15789474
sl71,15,8.27,150,5.544083521,44.89473684
sl71,15,8.27,150,5.409053779,49.63157895
sl71,15,8.27,150,5.376414492,54.36842105
sl71,15,8.27,150,5.177850975,59.10526316
sl71,15,8.27,150,5.160268732,63.84210526
sl73,10,5.515,150,7.917074495,25.94736842
sl73,10,5.515,150,7.164197432,30.68421053
sl73,10,5.515,150,8.138103444,35.42105263
sl73,10,5.515,150,9.710726065,40.15789474
sl73,10,5.515,150,9.679549838,44.89473684
sl73,10,5.515,150,11.43486481,49.63157895
sl73,10,5.515,150,11.41740814,54.36842105
sl73,10,5.515,150,11.31122211,59.10526316
sl73,10,5.515,150,10.49183465,63.84210526
sl74,15,2.76,150,5.671127664,25.94736842
sl74,15,2.76,150,6.14902426,30.68421053
sl74,15,2.76,150,5.45767414,35.42105263
sl74,15,2.76,150,5.598385788,40.15789474
sl74,15,2.76,150,5.234313089,44.89473684
sl74,15,2.76,150,5.00324799,49.63157895
sl74,15,2.76,150,4.910616282,54.36842105
sl74,15,2.76,150,4.825200074,59.10526316
sl74,15,2.76,150,4.845502985,63.84210526
sl75,5,2.76,150,4.479696106,25.94736842
sl75,5,2.76,150,4.38223577,30.68421053
sl75,5,2.76,150,4.271335801,35.42105263
sl75,5,2.76,150,4.1337856,40.15789474
sl75,5,2.76,150,4.052569667,44.89473684
sl75,5,2.76,150,4.454002633,49.63157895
sl75,5,2.76,150,4.067715284,54.36842105
sl75,5,2.76,150,4.226127286,59.10526316
sl75,5,2.76,150,4.074279223,63.84210526
sl76,5,8.27,150,9.048881553,25.94736842
sl76,5,8.27,150,9.293797672,30.68421053
sl76,5,8.27,150,8.881816715,35.42105263
sl76,5,8.27,150,8.767350803,40.15789474
sl76,5,8.27,150,7.988402807,44.89473684
sl76,5,8.27,150,4.328888256,49.63157895
sl76,5,8.27,150,5.401934729,54.36842105
sl76,5,8.27,150,3.192635775,59.10526316
sl76,5,8.27,150,3.252802636,63.84210526
sl77,15,2.76,150,10.41436894,25.94736842
sl77,15,2.76,150,7.824188434,30.68421053
sl77,15,2.76,150,3.559402424,35.42105263
sl77,15,2.76,150,6.829302422,40.15789474
sl77,15,2.76,150,12.88721135,44.89473684
sl77,15,2.76,150,10.69569814,49.63157895
sl77,15,2.76,150,8.594157596,54.36842105
sl77,15,2.76,150,8.862930579,59.10526316
sl77,15,2.76,150,10.03594763,63.84210526
sl78,5,8.27,150,3.226231122,25.94736842
sl78,5,8.27,150,3.930826602,30.68421053
sl78,5,8.27,150,3.999922371,35.42105263
sl78,5,8.27,150,3.964496372,40.15789474
sl78,5,8.27,150,3.955390713,44.89473684
sl78,5,8.27,150,4.435467024,49.63157895
sl78,5,8.27,150,4.664760484,54.36842105
sl78,5,8.27,150,5.020304361,59.10526316
sl78,5,8.27,150,4.863164943,63.84210526
sl79,10,5.515,150,4.338221869,25.94736842
sl79,10,5.515,150,3.924989526,30.68421053
sl79,10,5.515,150,2.997128407,35.42105263
sl79,10,5.515,150,2.435583353,40.15789474
sl79,10,5.515,150,3.229239914,44.89473684
sl79,10,5.515,150,3.7837693,49.63157895
sl79,10,5.515,150,3.21879574,54.36842105
sl79,10,5.515,150,3.231869298,59.10526316
sl79,10,5.515,150,3.233027919,63.84210526
sl80,5,2.76,150,15.30821226,25.94736842
sl80,5,2.76,150,11.84834039,30.68421053
sl80,5,2.76,150,0.441142774,35.42105263
sl80,5,2.76,150,16.0056668,40.15789474
sl80,5,2.76,150,14.86041664,44.89473684
sl80,5,2.76,150,13.31221639,49.63157895
sl80,5,2.76,150,11.79333175,54.36842105
sl80,5,2.76,150,9.215928569,59.10526316
sl80,5,2.76,150,4.040409851,63.84210526
sl81,10,5.515,150,12.84917574,25.94736842
sl81,10,5.515,150,12.74216212,30.68421053
sl81,10,5.515,150,12.38060412,35.42105263
sl81,10,5.515,150,12.80995092,40.15789474
sl81,10,5.515,150,13.05129189,44.89473684
sl81,10,5.515,150,11.48413651,49.63157895
sl81,10,5.515,150,9.016130783,54.36842105
sl81,10,5.515,150,7.039890457,59.10526316
sl81,10,5.515,150,6.194070671,63.84210526
sl82,15,8.27,150,5.217136569,25.94736842
sl82,15,8.27,150,5.262752559,30.68421053
sl82,15,8.27,150,5.0303012,35.42105263
sl82,15,8.27,150,5.658378718,40.15789474
sl82,15,8.27,150,7.12571852,44.89473684
sl82,15,8.27,150,8.302889714,49.63157895
sl82,15,8.27,150,8.480280584,54.36842105
sl82,15,8.27,150,9.635727118,59.10526316
sl82,15,8.27,150,9.924051573,63.84210526
sl83,15,2.76,150,11.14766851,25.94736842
sl83,15,2.76,150,10.8265538,30.68421053
sl83,15,2.76,150,10.65435028,35.42105263
sl83,15,2.76,150,9.30298841,40.15789474
sl83,15,2.76,150,8.199536099,44.89473684
sl83,15,2.76,150,7.947965619,49.63157895
sl83,15,2.76,150,6.509818819,54.36842105
sl83,15,2.76,150,5.947100485,59.10526316
sl83,15,2.76,150,4.989496536,63.84210526
sl84,5,8.27,150,2.966217681,25.94736842
sl84,5,8.27,150,3.880522036,30.68421053
sl84,5,8.27,150,4.372948888,35.42105263
sl84,5,8.27,150,3.445392615,40.15789474
sl84,5,8.27,150,2.680288074,44.89473684
sl84,5,8.27,150,2.037128182,49.63157895
sl84,5,8.27,150,1.689696437,54.36842105
sl84,5,8.27,150,1.653780804,59.10526316
sl84,5,8.27,150,1.456011667,63.84210526
