Sample ID,Time (min),Pressure (Mpa),Temp (Celsius),Percent area Transfer (%),Stdev_1_emp,N_1,Stdev_1,Stdev_2,Stdev_eff
20220713_1314_2,30,24.821136,50,8.0603657,0.086041601,1,0.086041601,12.36699364,12.36729295
20220502_0102,5,8.273712,70,9.11014056,0.56639943,2,0.400504878,5.231572602,5.246880602
20220502_0304,5,8.273712,70,1.711579633,0.01692773,2,0.011969713,5.231572602,5.231586295
20220324_0102,15,8.273712,70,37.38000005,0.688629178,7,0.260277364,14.10258707,14.10498871
20220328_0304,15,8.273712,70,0.984510479,0.252382043,7,0.095391446,14.10258707,14.10290969
20220405_0102,15,8.273712,70,1.007204876,0.16066848,7,0.060726978,14.10258707,14.10271782
20220405_0405,15,8.273712,70,3.808887482,1.1482748,7,0.43400708,14.10258707,14.10926377
20220414_0304,15,8.273712,70,7.701222549,0.30436188,7,0.115037978,14.10258707,14.10305626
20220502_0506,15,8.273712,70,18.24253469,0.041168546,7,0.015560248,14.10258707,14.10259565
20220720_0102,15,8.273712,70,26.16450732,0.364820655,7,0.137889247,14.10258707,14.10326117
20220502_0708,35,8.273712,70,50.69780014,0.639201318,2,0.451983587,0.364027451,0.58034916
20220502_0910,35,8.273712,70,50.18298758,0.905273285,2,0.640124879,0.364027451,0.736393811
20220713_1112_2,30,24.821136,70,74.30988864,0.593459709,1,0.593459709,6.491694531,6.518764631
20220727_0102,30,0,80,4.950898467,0.327630433,1,0.327630433,13.65613981,13.66006941
20220727_0304,60,0,80,27.77206636,0.648043257,1,0.648043257,9.094938777,9.117997117
20220622_0607,10,2.757904,80,1.301228844,0.492936516,1,0.492936516,17.19054748,17.19761347
20220918_0708,15,2.757904,80,9.133584359,0.037470704,1,0.037470704,12.03637054,12.03642887
20220622_0304,5,5.515808,80,1.518517359,0.163708817,3,0.09451733,8.493590261,8.494116143
20220627_0607,5,5.515808,80,14.6645607,0.075223712,3,0.04343043,8.493590261,8.493701297
20220706_0708,5,5.515808,80,17.40869444,0.166509411,3,0.096134253,8.493590261,8.494134289
20220622_0809,15,5.515808,80,12.51359983,0.120584211,2,0.085265913,17.05773937,17.05795248
20220627_0203,15,5.515808,80,36.6368862,0.214674927,2,0.151798096,17.05773937,17.05841479
20220622_0102,10,8.273712,80,42.34003886,0.16691946,2,0.118029882,5.451871805,5.453149295
20220627_0405,10,8.273712,80,50.05014991,0.266335938,2,0.188327948,5.451871805,5.455123609
20220324_0304,15,8.273712,80,73.1213051,0.258123231,6,0.105378368,22.70514449,22.70538903
20220324_0506,15,8.273712,80,69.47231076,0.581434834,6,0.237369777,22.70514449,22.70638524
20220328_0911,15,8.273712,80,34.94215353,0.276223338,6,0.112767705,22.70514449,22.70542453
20220414_0506,15,8.273712,80,19.88879392,0.345972704,6,0.141242765,22.70514449,22.7055838
20220418_0103,15,8.273712,80,74.35935587,0.160589037,6,0.0655602,22.70514449,22.70523914
20220918_0910,15,8.273712,80,60.54953115,0.0184034,6,0.007513156,22.70514449,22.70514573
20220418_0405,25,8.273712,80,77.83919166,0.460934235,2,0.325929723,2.381432704,2.403633064
20220418_0809,25,8.273712,80,74.47133724,1.424937075,2,1.007582669,2.381432704,2.585816033
20220418_0607,35,8.273712,80,79.23969748,0.043360567,2,0.030660551,0.879165486,0.879699961
20220418_1011,35,8.273712,80,77.99636973,0.889139896,2,0.62871685,0.879165486,1.080840797
20220524_0304,15,3.9989608,85,3.478760895,0.492936516,2,0.348558753,2.931567159,2.952215983
20220524_0607,15,3.9989608,85,7.62462293,0.492936516,2,0.348558753,2.931567159,2.952215983
20220524_0102,30,16.00273796,85,80.90386526,0.202338835,2,0.143075163,0.775424846,0.788513915
20220524_0809,30,16.00273796,85,82.00048159,0.078653421,2,0.055616367,0.775424846,0.777416794
20220720_1112,5,0,90,2.609258509,0.146657398,1,0.146657398,15.35027021,15.35097078
20220425_0708,5,8.273712,90,62.12171354,0.929342421,2,0.657144328,8.344625667,8.370460931
20220425_1314,5,8.273712,90,50.32063075,0.292354963,2,0.206726177,8.344625667,8.347185947
20220425_1516,15,8.273712,90,69.27319837,0.839609158,1,0.839609158,6.677336369,6.72991564
20220425_0910,35,8.273712,90,89.69963916,8.907423295,2,6.298499415,5.110754342,8.111159277
20220425_1718,35,8.273712,90,82.47194105,0.106849663,2,0.075554121,5.110754342,5.111312783
20220727_0506,0,0,100,30.09170178,0.206747461,2,0.146192532,7.419660551,7.421100656
20220804_0304,0,0,100,19.5987172,0.684364354,2,0.483918675,7.419660551,7.435424667
20220713_0910,5,0,100,20.37002281,0.225714023,1,0.225714023,9.914799794,9.917368692
20230520_0304,10,0,100,50.59377199,1.337605977,1,1.337605977,7.508473656,7.626687773
20220713_0102,15,0,100,30.0935956,0.549552174,1,0.549552174,8.882593759,8.899577489
20220713_0304,30,0,100,43.84400022,0.492936516,1,0.492936516,7.887212796,7.902601603
20220622_1213,5,2.757904,100,43.02049165,0.492936516,2,0.348558753,20.56851003,20.5714632
20220627_1415,5,2.757904,100,72.10875749,1.043119142,2,0.737596619,20.56851003,20.58173106
20220622_1011,15,2.757904,100,45.36006532,0.145989419,2,0.103230108,18.10838713,18.10868137
20220627_0890,15,2.757904,100,70.96919199,0.010706507,2,0.007570644,18.10838713,18.10838871
20220622_1516,10,5.515808,100,81.44317161,0.164092027,2,0.116030585,0.55460305,0.56661066
20220627_1011,10,5.515808,100,80.65884445,0.352574422,2,0.249307765,0.55460305,0.608061596
20220918_0103,15,5.515808,100,57.35256407,0.457367254,1,0.457367254,7.176819576,7.191378451
20220622_0514,5,8.273712,100,76.882086,0.494144626,2,0.349413016,7.43156973,7.439779439
20220627_1213,5,8.273712,100,66.37225929,0.085457951,2,0.060427897,7.43156973,7.431815403
20220324_0809,15,8.273712,100,85.39646023,1.472853225,5,0.658679986,6.018163915,6.05410243
20220328_1213,15,8.273712,100,82.71633182,0.310458781,5,0.138841388,6.018163915,6.019765264
20220405_0607,15,8.273712,100,88.11145718,0.0876308,5,0.039189685,6.018163915,6.018291513
20220706_0910,15,8.273712,100,87.51491589,0.492936516,5,0.220447912,6.018163915,6.022200112
20220918_0204,15,8.273712,100,73.33567237,0.775713912,5,0.346909808,6.018163915,6.028154222
20230520_1112,5,2.757904,120,66.22089503,0.540758659,1,0.540758659,6.796525453,6.818003972
20230520_0910,10,2.757904,120,77.66346391,0.862814729,1,0.862814729,6.374941868,6.433065605
20230520_1314,5,5.515808,120,75.56136026,0.092132446,1,0.092132446,6.447520356,6.44817859
20230519_0506,10,5.515808,120,76.3564599,1.668658051,1,1.668658051,6.419833575,6.633150294
20220324_1012,15,8.273712,120,94.88087354,0.465736457,3,0.268893069,1.54968228,1.57283777
20220405_0809,15,8.273712,120,93.78549342,0.122051404,3,0.070466411,1.54968228,1.55128356
20220405_1011,15,8.273712,120,91.82227681,0.492936516,3,0.28459703,1.54968228,1.575598502
20220804_0506,0,0,150,48.21526953,2.16323479,2,1.529637989,11.50478243,11.60602478
20220804_0708,0,0,150,64.48548887,0.884070192,2,0.625132028,11.50478243,11.52175372
20220713_0506,15,0,150,61.71921564,0.495652966,2,0.350479574,3.508283489,3.525746583
20220713_0708,15,0,150,66.68067773,0.253333961,2,0.179134162,3.508283489,3.512853838
20220127&20220119_09xx,5,1.378952,150,83.80993023,0.199301126,2,0.140927177,4.113866541,4.116279678
20220127&20220119_12xx,5,1.378952,150,77.99204438,2.072427973,2,1.465427873,4.113866541,4.367078746
20220114_crooked,15,1.378952,150,91.4448,0.00933,3,0.005386678,2.309557349,2.309563631
20220114_notCrooked,15,1.378952,150,94.6369,0.03521,3,0.020328503,2.309557349,2.309646812
20220127_1011,15,1.378952,150,90.14947686,0.978476369,3,0.564923595,2.309557349,2.377644594
20220208_1517_400psi_05min_side1_full_T_20X_1_S7,5,2.757904,150,77.26654399,0.576000812,1,0.576000812,6.388494511,6.414408706
20220208_1213_400psi_10min_side1_full_T_20X_1_S6,10,2.757904,150,69.72308313,0.896207139,3,0.517425433,15.51187253,15.52049994
20220405_1213,10,2.757904,150,97.16237123,0.173967574,3,0.100440226,15.51187253,15.5121977
20220627_0118,10,2.757904,150,95.97942013,0.216210774,3,0.124829348,15.51187253,15.51237479
20220114,15,2.757904,150,92.54768478,0.87733123,4,0.438665615,4.386215842,4.408096747
20220127_1314,15,2.757904,150,89.22781274,0.858728363,4,0.429364181,4.386215842,4.407180846
20220208_1011_400psi_15min_side1_full_T_20X_1_S5,15,2.757904,150,86.55877777,0.900032581,4,0.45001629,4.386215842,4.409240759
20220208_1819_400psi_15min_side1_full_T_20X_1_S8,15,2.757904,150,82.16807727,0.908160701,4,0.454080351,4.386215842,4.409657399
20220217_0709,5,4.28854072,150,93.18536673,0.663141621,2,0.468911937,0.605240741,0.765633567
20220217_1011,5,4.28854072,150,92.32942706,0.657301292,2,0.464782201,0.605240741,0.763111295
20220217_0102,10,4.28854072,150,87.52921726,0.239939112,2,0.169662573,2.888187627,2.893166631
20220217_0304,10,4.28854072,150,91.61373138,0.240852752,2,0.170308614,2.888187627,2.893204589
20220627_1617,5,5.515808,150,92.99083362,0.121982838,2,0.086254892,3.726169605,3.727167803
20220627_1920,5,5.515808,150,87.72123402,0.2877225,2,0.203450531,3.726169605,3.731719717
20220114,15,5.515808,150,89.5086155,1.307503982,3,0.754887776,2.982666377,3.0767116
20220127_1516,15,5.515808,150,95.13339843,0.13095307,3,0.07560579,2.982666377,2.983624466
20220706_1113,15,5.515808,150,94.04154726,0.278396693,3,0.160732406,2.982666377,2.986994078
20220127_xx_5min,5,8.273712,150,93.6732,0.4695,6,0.191672572,1.661025203,1.672047577
20220127_xx_5minA,5,8.273712,150,94.4891,0.16,6,0.065319726,1.661025203,1.662309054
20220208_0203_5min_side1_full_T_20X_1_1,5,8.273712,150,91.40510664,0.35814715,6,0.146212962,1.661025203,1.667448037
20220208_0607_05min_side1_full_T_20X_1_S3,5,8.273712,150,92.91894031,0.586046923,6,0.239252655,1.661025203,1.678167619
20220222_0102,5,8.273712,150,93.80251505,0.520779069,6,0.212607165,1.661025203,1.674576523
20220222_0708,5,8.273712,150,96.40655383,1.247592556,6,0.509327528,1.661025203,1.737359852
20220127_xx_10min,10,8.273712,150,94.9795,0.0473,3,0.027308668,1.065839871,1.066189661
20220208_0405_10min_side1_full_T_20X_1_S2,10,8.273712,150,93.65242074,0.05308313,3,0.03064756,1.065839871,1.066280406
20220222_0304,10,8.273712,150,95.76067119,0.372865348,3,0.215273909,1.065839871,1.087362629
20220114,15,8.273712,150,96.29583324,1.950188072,8,0.689495605,1.425651455,1.583630721
20220127_1718,15,8.273712,150,94.39221839,0.372067245,8,0.131545636,1.425651455,1.431707486
20220208_0809_15min_side1_full_T_20X_1_S4,15,8.273712,150,93.58570634,0.545471274,8,0.192853218,1.425651455,1.438636311
20220222_0506,15,8.273712,150,95.28952389,0.002814537,8,0.000995089,1.425651455,1.425651802
20220222_0910,15,8.273712,150,96.63135684,0.241488187,8,0.085378967,1.425651455,1.428205741
20220414_0708,15,8.273712,150,95.65097901,0.812137685,8,0.287134032,1.425651455,1.454279211
20220414_0910,15,8.273712,150,95.57663993,0.453880655,8,0.160471044,1.425651455,1.434654323
20220918_0506,15,8.273712,150,92.41534806,0.466560972,8,0.164954214,1.425651455,1.435162696